lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,340,279,Brewer Park,448
P2,Colonel By,523,462,Hogs Back Plaza (SW dest.),866
P3,Stadium Way,3605,3544,Brewer Park,3722
P7,Bronson Ave & University Dr,266,205,Brewer Park,4681
P7,Bronson Ave & University Dr,10004,9943,Brewer Park,10471
P5,Stadium Way,784,723,Brewer Park,895
P7,Bronson Ave & University Dr,8780,8719,Brewer Park,9256
P1,Colonel By,225,164,Hogs Back Plaza (SW dest.),423
P7,Bronson Ave & University Dr,9927,9866,Brewer Park,10405
P5,Stadium Way,941,880,Brewer Park,1055
P7,Bronson Ave & University Dr,9939,9878,Brewer Park,10409
P7,Bronson Ave & University Dr,8226,8165,Brewer Park,8687
P3,Stadium Way,4014,3953,Brewer Park,4129
P7,Bronson Ave & University Dr,9957,9896,Brewer Park,10430
P2,Colonel By,636,575,Hogs Back Plaza (SW dest.),1064
P5,Stadium Way,3120,3059,Brewer Park,3230
P5,Stadium Way,2443,2382,Brewer Park,2559
P3,Stadium Way,3670,3609,Brewer Park,3776
P7,Bronson Ave & University Dr,12506,12445,Brewer Park,12954
P7,Bronson Ave & University Dr,11313,11252,Brewer Park,11780
P3,Stadium Way,3562,3501,Brewer Park,3669
P7,Bronson Ave & University Dr,9155,9094,Brewer Park,9632
P7,Bronson Ave & University Dr,9143,9082,Brewer Park,9615
P7,Bronson Ave & University Dr,11568,11507,Brewer Park,12041
P4,Stadium Way,4351,4290,Brewer Park,4467
P5,Stadium Way,2130,2069,Brewer Park,2250
P7,Bronson Ave & University Dr,9761,9700,Brewer Park,10230
P7,Bronson Ave & University Dr,10626,10565,Brewer Park,11089
P5,Stadium Way,1634,1573,Brewer Park,1747
P7,Bronson Ave & University Dr,11726,11665,Brewer Park,12190
P5,Stadium Way,2115,2054,Brewer Park,2232
P7,Bronson Ave & University Dr,260,199,Brewer Park,4668
P3,Stadium Way,3443,3382,Brewer Park,3560
P7,Bronson Ave & University Dr,11654,11593,Brewer Park,12442
P5,Stadium Way,2846,2785,Brewer Park,2960
P5,Stadium Way,2078,2017,Brewer Park,2198
P7,Bronson Ave & University Dr,11778,11717,Brewer Park,12246
P3,Stadium Way,3575,3514,Brewer Park,3691
P5,Stadium Way,719,658,Brewer Park,830
P5,Stadium Way,1058,997,Brewer Park,1167
P5,Stadium Way,1962,1901,Brewer Park,2077
P7,Bronson Ave & University Dr,11138,11077,Brewer Park,11615
P5,Stadium Way,1684,1623,Brewer Park,1793
P7,Bronson Ave & University Dr,9938,9877,Brewer Park,10707
P7,Bronson Ave & University Dr,9096,9035,Brewer Park,9571
P7,Bronson Ave & University Dr,11438,11377,Brewer Park,11896
P3,Stadium Way,3933,3872,Brewer Park,4042
P5,Stadium Way,490,429,Brewer Park,602
P7,Bronson Ave & University Dr,10713,10652,Brewer Park,11186
P7,Bronson Ave & University Dr,11327,11266,Brewer Park,11797
P1,Colonel By,458,397,Hogs Back Plaza (SW dest.),706
P5,Stadium Way,480,419,Brewer Park,594
P7,Bronson Ave & University Dr,8875,8814,Brewer Park,9351
P7,Bronson Ave & University Dr,12469,12408,Brewer Park,12922
P7,Bronson Ave & University Dr,10147,10086,Brewer Park,10619
P5,Stadium Way,1323,1262,Brewer Park,1435
P7,Bronson Ave & University Dr,152,91,Brewer Park,4529
P2,Colonel By,521,460,Hogs Back Plaza (SW dest.),862
P5,Stadium Way,414,353,Brewer Park,531
P5,Stadium Way,2182,2121,Brewer Park,2291
P4,Stadium Way,3309,3248,Brewer Park,3416
P5,Stadium Way,197,136,Brewer Park,239
P5,Stadium Way,2990,2929,Brewer Park,3097
P7,Bronson Ave & University Dr,8746,8685,Brewer Park,9222
P1,Colonel By,114,53,Hogs Back Plaza (SW dest.),286
P7,Bronson Ave & University Dr,11764,11703,Brewer Park,12550
P7,Bronson Ave & University Dr,11941,11880,Brewer Park,12744
P5,Stadium Way,1445,1384,Brewer Park,1548
P7,Bronson Ave & University Dr,9216,9155,Brewer Park,9681
P1,Colonel By,158,97,Hogs Back Plaza (SW dest.),342
P5,Stadium Way,1081,1020,Brewer Park,1188
P5,Stadium Way,151,90,Brewer Park,178
P5,Stadium Way,600,539,Brewer Park,714
P5,Stadium Way,2076,2015,Brewer Park,2194
P5,Stadium Way,2018,1957,Brewer Park,2131
P7,Bronson Ave & University Dr,12548,12487,Brewer Park,13004
P3,Stadium Way,3879,3818,Brewer Park,3986
P7,Bronson Ave & University Dr,11667,11606,Brewer Park,12141
P1,Colonel By,218,157,Hogs Back Plaza (SW dest.),414
P3,Stadium Way,3413,3352,Brewer Park,3533
P7,Bronson Ave & University Dr,9006,8945,Brewer Park,9476
P5,Stadium Way,1547,1486,Brewer Park,1654
P7,Bronson Ave & University Dr,10770,10709,Brewer Park,11251
P7,Bronson Ave & University Dr,4275,4214,Brewer Park,4724
P3,Stadium Way,3289,3228,Brewer Park,3399
P7,Bronson Ave & University Dr,8151,8090,Brewer Park,8599
P5,Stadium Way,639,578,Brewer Park,748
P5,Stadium Way,1554,1493,Brewer Park,1662
P7,Bronson Ave & University Dr,11724,11663,Brewer Park,12185
P7,Bronson Ave & University Dr,9449,9388,Brewer Park,9913
