id,lat,lon
585,52.7837555,7.2988529
586,53.4674437,7.3023581
587,50.9430962,7.3050711
588,50.1854892,7.3052313
589,52.6010485,7.3123414
590,49.7096271,7.3154893
591,49.2852948,7.316061
592,50.8652958,7.3167495
593,51.5434639,7.3168794
594,50.9530528,7.3189893
595,50.9506002,7.3196078
596,50.962006,7.3197588
597,49.328362,7.3242452
598,53.474984,7.3261227
599,50.7907761,7.3271194
600,53.0254087,7.3272725
601,52.8608002,7.3274606
602,49.3186445,7.3276877
603,51.6504586,7.3284037
604,51.2030447,7.3288855
605,51.6403367,7.3333259
606,49.3901089,7.3370053
607,51.3215135,7.3378315
608,51.6634811,7.3489234
609,52.9683752,7.3489872
610,53.1632906,7.3496706
611,53.1670311,7.3505905
612,51.6557233,7.3517319
613,50.7404149,7.3569671
614,49.2479932,7.357674
615,51.1251051,7.358455
616,49.5098271,7.3593406
617,49.7122232,7.3613119
618,49.2355304,7.3619735
619,51.3312082,7.3721243
620,51.9230179,7.3725347
621,51.4962953,7.3727134
622,51.4941443,7.3738576
623,51.1210963,7.3777833
624,50.3965506,7.3816201
625,51.3589669,7.3817656
626,51.1970809,7.3820277
627,50.4541397,7.3826083
628,50.3750474,7.3871843
629,51.1128081,7.3883616
630,50.9867412,7.3893639
631,50.3761457,7.3901521
632,52.5123856,7.3967544
633,49.5415337,7.3988639
634,51.9105492,7.3997768
635,53.08462,7.4000939
636,49.9504522,7.4042344
637,51.1217839,7.410042
638,50.9051226,7.4117257
639,53.113846,7.4174493
640,51.5304738,7.4206213
641,52.4300695,7.423639
642,52.2882114,7.4247357
643,51.7660746,7.4256462
644,52.279282,7.4293513
645,49.5428693,7.4305797
646,53.2315085,7.4309276
647,52.3917096,7.4314546
648,50.5998076,7.432573
649,53.2211322,7.4351384
650,50.8381474,7.4366979
651,50.2246989,7.4376021
652,52.2727776,7.4405742
653,50.237543,7.4427343
654,49.470639,7.4463767
655,51.7771052,7.4478765
656,50.9444656,7.4497895
657,53.2900015,7.4519349
658,50.0794624,7.4559901
659,53.311676,7.4568882
660,53.2474269,7.4584171
661,51.5425273,7.4589443
662,51.6884044,7.464921
663,50.4433174,7.4675106
664,51.5355463,7.4687954
665,53.1724676,7.46956
666,51.5198153,7.4701724
667,53.4706679,7.4731735
668,49.892913,7.4741073
669,51.6647893,7.4760528
670,52.5039593,7.4790653
671,51.6000129,7.4820026
672,50.4144729,7.4829827
673,50.43298,7.48304
