"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"6955_3",113,46977863,"Stadionstraße","",1,,935,1,0
"6955_3",115,46977959,"Stadionstraße","",1,,935,1,0
"6955_3",113,46977862,"Stadionstraße","",1,,935,1,0
"6955_3",129,46978008,"Stadionstraße","",1,,935,1,0
"6955_3",113,46977861,"Stadionstraße","",1,,935,1,0
"6955_3",129,46978007,"Stadionstraße","",1,,935,1,0
"6955_3",113,46977860,"Stadionstraße","",1,,935,1,0
"6955_3",129,46978006,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978018,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978017,"Stadionstraße","",1,,935,1,0
"6955_3",125,46978016,"Stadionstraße","",1,,935,1,0
"6955_3",115,46978070,"Stadionstraße","",1,,935,1,0
"6955_3",125,46978015,"Stadionstraße","",1,,935,1,0
"6955_3",115,46978069,"Stadionstraße","",1,,935,1,0
"6955_3",113,46978014,"Stadionstraße","",1,,935,1,0
"6955_3",123,46978088,"Stadionstraße","",1,,935,1,0
"6955_3",115,46978025,"Stadionstraße","",1,,935,1,0
"6955_3",113,46978013,"Stadionstraße","",1,,935,1,0
"6955_3",123,46978087,"Stadionstraße","",1,,935,1,0
"6955_3",115,46978024,"Stadionstraße","",1,,935,1,0
"6955_3",113,46978012,"Stadionstraße","",1,,935,1,0
"6955_3",123,46978086,"Stadionstraße","",1,,935,1,0
"6955_3",115,46978023,"Stadionstraße","",1,,935,1,0
"6955_3",123,46978085,"Stadionstraße","",1,,935,1,0
"6955_3",128,46978039,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978038,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978037,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978036,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978035,"Stadionstraße","",1,,935,1,0
"6955_3",128,46978034,"Stadionstraße","",1,,935,1,0
"6955_3",123,46977851,"Stadionstraße","",1,,935,1,0
"6955_3",128,46978033,"Stadionstraße","",1,,935,1,0
"6955_3",123,46977850,"Stadionstraße","",1,,935,1,0
"6955_3",128,46978032,"Stadionstraße","",1,,935,1,0
"6955_3",123,46977849,"Stadionstraße","",1,,935,1,0
"6955_3",128,46978031,"Stadionstraße","",1,,935,1,0
"6955_3",123,46977848,"Stadionstraße","",1,,935,1,0
"6955_3",128,46978030,"Stadionstraße","",1,,935,1,0
"6955_3",123,46977847,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977857,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977856,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977855,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977854,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977853,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977852,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977859,"Stadionstraße","",1,,935,1,0
"6955_3",127,46977858,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978054,"Stadionstraße","",1,,935,1,0
"6955_3",127,46978067,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978052,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978063,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978051,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978062,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978050,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978061,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978053,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978060,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978049,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978059,"Stadionstraße","",1,,935,1,0
"6955_3",130,46978048,"Stadionstraße","",1,,935,1,0
