id,lat,lon
128,48.0240753,10.1253168
129,52.1041827,10.1277156
130,51.8764989,10.130528
131,51.9836439,10.1335296
132,52.0017938,10.1337188
133,51.0118779,10.1439809
134,47.6665008,10.2008884
135,47.6672625,10.2014375
136,52.122351,10.2290887
137,47.5630901,10.2413848
138,47.6093852,10.2734276
139,49.5087847,10.2842134
140,47.6399952,10.2873302
141,48.4270018,10.2875952
142,48.498016,10.3095178
143,49.0809323,10.3212468
144,49.0618157,10.3359494
145,49.2434857,10.3825415
146,53.2005009,10.4056085
147,49.4926113,10.4241632
148,47.7638424,10.4536118
149,49.2501277,10.4771339
150,47.772608,10.5504354
151,48.0318701,10.6151549
152,52.3119824,10.6352195
153,47.8782283,10.6444335
154,49.2112678,10.6494237
155,47.9815174,10.6948375
156,49.0829466,10.717042
157,48.8010935,10.8220521
158,48.7034734,10.8964688
159,50.8884981,10.9343391
160,47.7552674,10.9397978
161,49.316581,11.0296366
162,47.7953779,11.0838563
163,49.3157286,11.0849533
164,49.3156288,11.0861745
165,50.4895287,11.1038471
166,47.5302441,11.1204227
167,47.530171,11.1205612
168,50.9355068,11.3879163
169,51.9754452,11.4695185
170,51.4925423,11.5717806
171,48.7357221,11.6041908
172,50.0540459,11.6225217
173,50.1051253,11.7042921
174,50.4032966,11.7620653
175,50.8659013,11.7714787
176,50.325291,11.7858837
177,50.3713996,11.7893964
178,50.4279164,11.7955262
179,48.7678157,11.82482
180,50.8889436,11.8711957
181,51.1054454,11.9583732
182,48.9697075,12.0830828
183,49.0003957,12.1477889
184,50.0282867,12.1493771
185,48.9956483,12.1507057
186,49.8049469,12.1849711
187,48.1684674,12.2106466
188,49.2763617,12.2753538
189,48.9802676,12.2767459
190,49.2533264,12.3124622
191,48.0359069,12.3409698
192,49.2541837,12.3629781
193,52.1065551,12.4020029
194,50.821674,12.4464099
195,49.2163248,12.4595273
196,49.203804,12.4937528
197,52.4103118,12.5370948
198,49.2942356,12.6293401
199,49.3115401,12.6303887
200,54.2927353,12.6551475
201,50.6623519,12.7568402
202,52.1591668,12.7814523
203,47.8087215,12.8397539
204,47.6619574,12.8448258
205,54.0781907,12.8624413
206,54.0770852,12.8743718
207,48.801541,12.8769965
208,53.8155398,12.9689324
209,48.9354386,12.978895
210,48.7880512,13.0101998
211,48.7496333,13.0564664
212,48.9814809,13.0689628
213,50.9868715,13.1117049
214,49.0054854,13.2428094
215,48.7676105,13.3757364
216,51.5120498,13.4330504
217,48.8102425,13.5307241
218,52.5003018,13.7447271
219,51.1729569,14.0692248
220,52.1566968,14.312279
221,51.9513585,14.6092812
