JAHR;SATZART1;SATZART2;FT_ENTF3;BE_NUTS3;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;3;1;2;DE266;59699,0;();5393053,2;();727920,4;();65363998,8;();59699,0;();5393053,2;();727920,4;();65363998,8;()
2023;3;1;2;DE267;77471,7;();6763702,6;();1241877,8;();110573000,8;();77471,7;();6763702,6;();1241877,8;();110573000,8;()
2023;3;1;2;DE268;138460,4;;13199370,1;;1991476,9;();188834707,1;;138460,4;;13199370,1;;1991476,9;();188834707,1;
2023;3;1;2;DE269;57500,2;();4781996,9;();806969,4;();67268653,5;();57500,2;();4781996,9;();806969,4;();67268653,5;()
2023;3;1;2;DE26A;125671,0;();10903074,8;;2242188,7;();188120965,9;();125671,0;();10903074,8;;2242188,7;();188120965,9;()
2023;3;1;2;DE26B;92082,0;();8462821,8;();1034425,6;();99008648,6;();92082,0;();8462821,8;();1034425,6;();99008648,6;()
2023;3;1;2;DE26C;117906,7;;11231699,4;;1506401,6;();136732001,4;();117906,7;;11231699,4;;1506401,6;();136732001,4;()
2023;3;1;2;DE271;135481,1;;12037520,5;;1388930,0;();121015016,1;;135481,1;;12051201,7;;1388930,0;();121170160,9;
2023;3;1;2;DE272;39984,3;();3273132,1;();557060,6;();42157275,9;();39984,3;();3273132,1;();557060,6;();42157275,9;()
2023;3;1;2;DE273;52072,0;();4982140,9;();436934,6;();39211465,8;();52072,0;();5118269,5;();436934,6;();39932273,6;()
2023;3;1;2;DE274;87362,2;();7441981,9;();826411,3;();67498453,8;();87362,2;();7633488,1;();826411,3;();68471856,6;()
2023;3;1;2;DE275;107575,5;;9745111,8;;1436298,7;();129188191,0;();107575,5;;9745111,8;;1436298,7;();129188191,0;()
2023;3;1;2;DE276;255163,7;;23369081,2;;2839679,6;;257870851,6;;255163,7;;23379427,7;;2839679,6;;258114202,3;
2023;3;1;2;DE277;111590,2;;9605874,0;();1969319,6;();160876110,2;();111590,2;;9605874,0;();1969319,6;();160876110,2;()
2023;3;1;2;DE278;137604,2;;12995698,9;;1620303,5;();153257231,8;();137604,2;;13002621,2;;1620303,5;();153406061,2;()
2023;3;1;2;DE279;149930,2;;14209159,8;;1501621,4;;140702220,1;;149930,2;;14283498,4;;1501621,4;;140977722,5;
2023;3;1;2;DE27A;49369,4;();4150744,7;();;/;;/;49369,4;();4259665,5;();;/;;/
2023;3;1;2;DE27B;128364,4;;11490715,6;;1634670,5;();146874254,6;();128364,4;;11643187,6;;1634670,5;();149618352,0;()
