lon,lat
9.9941718,53.5584229
9.9769027,53.5642826
9.9769018,53.5642825
9.9775995,53.5644059
9.9775992,53.5644058
9.9774744,53.5644499
9.9774742,53.56445
9.9771756,53.5641274
9.977175,53.5641271
9.9774184,53.5641623
9.9774181,53.5641621
9.9942758,53.5589394
9.9942787,53.5589403
9.994169,53.5584226
9.9941718,53.5584229
9.9938834,53.558669
9.993886,53.5586695
9.9893995,53.5615249
9.989395,53.5615245
9.9749835,53.551742
9.9749847,53.5517427
9.975088,53.5517559
9.9750892,53.5517566
9.9896453,53.5616524
9.9901128,53.5613134
9.9902391,53.5613793
9.9900758,53.5615427
9.9899921,53.5612429
9.989393,53.5614726
9.9753611,53.5603441
9.9755011,53.5603044
9.9947865,53.5483351
9.9947875,53.5483352
9.9762333,53.5527599
9.9758219,53.5524582
9.9760378,53.5528598
9.9762333,53.5527606
9.975926,53.552586
9.9758368,53.5523902
9.9762498,53.5527822
9.9758031,53.5524404
9.9758373,53.5523899
9.9761501,53.5524963
9.9761226,53.5528293
9.9761629,53.5528139
9.9757953,53.5524049
9.9761506,53.5527635
9.9758373,53.5523899
9.9761501,53.5524963
9.9756837,53.5524786
9.976125,53.5528253
9.975882,53.5526005
9.9760904,53.5528752
9.9760905,53.5528743
9.9761321,53.5528609
9.9758843,53.552409
9.9758821,53.5524091
9.9761629,53.5528131
9.9756831,53.5524791
9.9761506,53.5527627
9.976103,53.5528099
9.975701,53.5524982
9.9760586,53.5524732
9.9758222,53.5524578
9.9761225,53.5525308
9.9761502,53.5524958
9.9761501,53.5524963
9.9757666,53.5524486
9.9762524,53.5527832
9.9773611,53.5641166
9.9773607,53.5641163
9.9901089,53.5613187
9.9899943,53.5615745
9.9893921,53.5614749
9.9901759,53.5613004
9.9895652,53.5615854
9.9900658,53.5612886
9.9900582,53.5612872
9.9895444,53.5615709
9.993475,53.5586881
9.9934773,53.5586887
9.989911,53.5616723
9.9898648,53.5616942
9.9898211,53.5617085
9.9901405,53.5614772
9.9902135,53.5613228
9.98991,53.5616766
9.9901764,53.5613027
9.98991,53.5616766
9.9893678,53.5615084
