BE_NUTS3;FT_ENTF21;NULAGX;FT_I
DE114;12;4;1
DE114;12;5;1
DE114;12;6;1
DE114;12;7;1
DE114;12;8;0
DE114;12;9;0
DE114;13;1;0
DE114;13;2;1
DE114;13;3;1
DE114;13;4;0
DE114;13;5;1
DE114;13;6;1
DE114;13;7;1
DE114;13;8;0
DE114;13;9;0
DE114;14;1;0
DE114;14;2;0
DE114;14;3;0
DE114;14;4;0
DE114;14;5;0
DE114;14;6;0
DE114;14;7;1
DE114;14;8;0
DE114;14;9;0
DE114;15;1;0
DE114;15;2;0
DE114;15;3;0
DE114;15;4;0
DE114;15;5;0
DE114;15;6;0
DE114;15;7;0
DE114;15;8;0
DE114;15;9;0
DE114;16;1;0
DE114;16;2;0
DE114;16;3;0
DE114;16;4;0
DE114;16;5;0
DE114;16;6;0
DE114;16;7;0
DE114;16;8;0
DE114;16;9;0
DE114;17;1;0
DE114;17;2;0
DE114;17;3;0
DE114;17;4;0
DE114;17;5;0
DE114;17;6;0
DE114;17;7;0
DE114;17;8;0
DE114;17;9;0
DE114;18;1;0
DE114;18;2;0
DE114;18;3;0
DE114;18;4;0
DE114;18;5;0
DE114;18;6;0
DE114;18;7;0
DE114;18;8;0
DE114;18;9;0
DE114;19;1;0
DE114;19;2;0
DE114;19;3;0
DE114;19;4;0
DE114;19;5;0
DE114;19;6;0
DE114;19;7;0
DE114;19;8;0
DE114;19;9;0
DE114;20;1;0
DE114;20;2;0
DE114;20;3;0
DE114;20;4;0
DE114;20;5;0
DE114;20;6;0
DE114;20;7;0
DE114;20;8;0
DE114;20;9;0
DE114;21;1;0
DE114;21;2;0
DE114;21;3;0
DE114;21;4;0
DE114;21;5;0
DE114;21;6;0
DE114;21;7;1
DE114;21;8;0
DE114;21;9;0
DE115;1;1;124
DE115;1;2;392
DE115;1;3;378
DE115;1;4;315
DE115;1;5;408
DE115;1;6;463
DE115;1;7;776
DE115;1;8;60
DE115;1;9;17
DE115;2;1;45
DE115;2;2;142
DE115;2;3;137
DE115;2;4;114
DE115;2;5;148
DE115;2;6;168
