time_s,cars_on_campus,cumulative_spawned,cumulative_exited
721,2773,3200,427
722,2773,3200,427
723,2773,3200,427
724,2772,3200,428
725,2772,3200,428
726,2772,3200,428
727,2771,3200,429
728,2771,3200,429
729,2771,3200,429
730,2771,3200,429
731,2771,3200,429
732,2770,3200,430
733,2770,3200,430
734,2770,3200,430
735,2770,3200,430
736,2770,3200,430
737,2769,3200,431
738,2769,3200,431
739,2769,3200,431
740,2769,3200,431
741,2769,3200,431
742,2769,3200,431
743,2769,3200,431
744,2768,3200,432
745,2768,3200,432
746,2767,3200,433
747,2767,3200,433
748,2767,3200,433
749,2766,3200,434
750,2766,3200,434
751,2766,3200,434
752,2765,3200,435
753,2765,3200,435
754,2765,3200,435
755,2765,3200,435
756,2765,3200,435
757,2765,3200,435
758,2764,3200,436
759,2764,3200,436
760,2764,3200,436
761,2764,3200,436
762,2763,3200,437
763,2763,3200,437
764,2763,3200,437
765,2762,3200,438
766,2762,3200,438
767,2761,3200,439
768,2761,3200,439
769,2760,3200,440
770,2760,3200,440
771,2760,3200,440
772,2760,3200,440
773,2760,3200,440
774,2760,3200,440
775,2760,3200,440
776,2760,3200,440
777,2759,3200,441
778,2759,3200,441
779,2759,3200,441
780,2759,3200,441
781,2759,3200,441
782,2759,3200,441
783,2759,3200,441
784,2759,3200,441
785,2759,3200,441
786,2759,3200,441
787,2758,3200,442
788,2758,3200,442
789,2758,3200,442
790,2758,3200,442
791,2758,3200,442
792,2758,3200,442
793,2758,3200,442
794,2758,3200,442
795,2757,3200,443
796,2757,3200,443
797,2756,3200,444
798,2756,3200,444
799,2756,3200,444
800,2755,3200,445
801,2755,3200,445
802,2755,3200,445
803,2755,3200,445
804,2755,3200,445
805,2755,3200,445
806,2755,3200,445
807,2755,3200,445
808,2755,3200,445
809,2755,3200,445
810,2755,3200,445
811,2755,3200,445
812,2755,3200,445
813,2754,3200,446
814,2753,3200,447
815,2753,3200,447
816,2753,3200,447
817,2753,3200,447
818,2752,3200,448
819,2752,3200,448
820,2752,3200,448
821,2752,3200,448
822,2752,3200,448
823,2752,3200,448
824,2752,3200,448
825,2751,3200,449
826,2751,3200,449
827,2750,3200,450
828,2750,3200,450
829,2750,3200,450
830,2750,3200,450
831,2750,3200,450
832,2750,3200,450
833,2750,3200,450
834,2750,3200,450
835,2750,3200,450
836,2750,3200,450
837,2749,3200,451
838,2749,3200,451
839,2749,3200,451
840,2749,3200,451
841,2749,3200,451
842,2749,3200,451
843,2748,3200,452
844,2748,3200,452
845,2747,3200,453
846,2747,3200,453
847,2747,3200,453
848,2746,3200,454
849,2746,3200,454
850,2745,3200,455
851,2744,3200,456
852,2744,3200,456
853,2743,3200,457
854,2743,3200,457
855,2743,3200,457
856,2743,3200,457
857,2743,3200,457
858,2743,3200,457
859,2743,3200,457
860,2743,3200,457
861,2742,3200,458
862,2742,3200,458
863,2742,3200,458
864,2742,3200,458
865,2742,3200,458
866,2741,3200,459
867,2741,3200,459
868,2741,3200,459
869,2740,3200,460
870,2740,3200,460
871,2740,3200,460
872,2739,3200,461
873,2739,3200,461
874,2739,3200,461
875,2738,3200,462
876,2738,3200,462
877,2737,3200,463
878,2737,3200,463
879,2737,3200,463
880,2737,3200,463
881,2736,3200,464
882,2736,3200,464
883,2736,3200,464
884,2736,3200,464
885,2736,3200,464
886,2736,3200,464
887,2735,3200,465
888,2735,3200,465
889,2734,3200,466
890,2734,3200,466
891,2734,3200,466
892,2734,3200,466
893,2733,3200,467
894,2733,3200,467
895,2732,3200,468
896,2732,3200,468
897,2732,3200,468
898,2732,3200,468
899,2732,3200,468
900,2732,3200,468
901,2732,3200,468
902,2732,3200,468
903,2732,3200,468
904,2731,3200,469
905,2731,3200,469
906,2731,3200,469
907,2731,3200,469
908,2731,3200,469
909,2730,3200,470
910,2730,3200,470
911,2730,3200,470
912,2729,3200,471
913,2729,3200,471
