"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"8763_3",34,"6506","Bf. Elmshorn (ZOB)  >  Kurzenmoor  >  Seester  >  Seestermühe",3,"#ff0000","#ff0000",""
"8762_3",34,"6505","Kölln-Reisiek  >  Bevern >  Seeth-Ekholt  >  Elmshorn",3,"#ff0000","#ff0000",""
"8761_3",34,"6504","Klein Nordende, Bauerweg - Bf. Elmshorn - Zeppelinplatz",3,"#ff0000","#ff0000",""
"8760_3",34,"6503","Klein Nordende - Bf. Elmshorn - Zeppelinplatz - Hasenbusch",3,"#ff0000","#ff0000",""
"8759_3",34,"6502","Waldorfschule - Hainholz - Bf. Elmshorn - Klinikum - Kibek",3,"#ff0000","#ff0000",""
"8758_3",34,"6501","Heidkoppelweg/Zeppelinplatz - Bf. Elmshorn - Hebbelplatz - Kibek",3,"#ff0000","#ff0000",""
"8757_3",34,"589","Uetersen  >  Heist  >  Haseldorf  >  Holm  >  %SB Wedel  > Wedel, Ernst-Barlach-Schule",3,"#ff0000","#ff0000",""
"8756_3",34,"489","Bf. Elmshorn  >  Uetersen  >  Heist  >  Holm  >  %SB Wedel",3,"#ff0000","#ff0000",""
"8632_3",61,"735","Aumühle  >  Wohltorf  >  Wentorf  >  Reinbeker Schulen",3,"#ff0000","#ff0000",""
"8631_3",61,"184","Lurup, Neißestraße > %SB Elbgaustraße > Eidelstedter Platz > %SB Halstenbek",3,"#ff0000","#ff0000",""
"8369_3",61,"8884","Glinde > Neuschönningstedt > Witzhave > Grande > Trittau",3,"#ff0000","#ff0000",""
"8368_3",61,"774","Hoisbüttel / Bünningstedt  >  Timmerhorn  >  Ahrensburger Schulen",3,"#ff0000","#ff0000",""
"8367_3",61,"536","%SB Reinbek > Reinbek, Borsigstraße > Reinbek, Senefelder Ring > Glinde, Markt",3,"#ff0000","#ff0000",""
"8366_3",61,"533","Kuddewörde > Kasseburg > Möhnsen",3,"#ff0000","#ff0000",""
"8365_3",61,"376","Bf. Ahrensburg  >  Großhansdorf  >  Siek  >  Meilsdorf",3,"#ff0000","#ff0000",""
"8364_3",61,"333","%UB Steinfurther Allee > Glinde > Neuschönningstedt > Trittau / Sachsenwaldau",3,"#ff0000","#ff0000",""
"7716_3",61,"476","Ahrensburg, Auestieg  >  Bf. Ahrensburg  >  Ahrensburg, Freizeitbad",3,"#ff0000","#ff0000",""
"7714_3",61,"433","Trittau > Kuddewörde > Friedrichsruh > Aumühle",3,"#ff0000","#ff0000",""
"7713_3",61,"432","IKEA Moorfleet > %SB Billwerder-Moorfleet > %UB Billstedt > %UB Steinfurther Allee",3,"#ff0000","#ff0000",""
"7712_3",61,"374","Bf. Bargteheide  >   %UB  Hoisbüttel  >  Bergstedt  >   %SB  Poppenbüttel",3,"#ff0000","#ff0000",""
"7711_3",61,"133","%UB Billstedt > %UB Steinfurther Allee > Glinde > Neuschönningstedt",3,"#ff0000","#ff0000",""
"7254_3",61,"8800","Bf. Bergedorf  >  Geesthacht  > Tesperhude  >  Lauenburg, ZOB",3,"#ff0000","#ff0000",""
"7253_3",61,"574","Bergstedt  >  Lemsahl  >  Duvenstedt",3,"#ff0000","#ff0000",""
"7252_3",61,"474","Bf. Ahrensburg  >  Ammersbek  >   %UB  Hoisbüttel  >  Bergstedt  >  Duvenstedt",3,"#ff0000","#ff0000",""
