time_s,cars_on_campus,cumulative_spawned,cumulative_exited
4408,3200,3200,0
4409,3200,3200,0
4410,3200,3200,0
4411,3200,3200,0
4412,3200,3200,0
4413,3200,3200,0
4414,3200,3200,0
4415,3200,3200,0
4416,3200,3200,0
4417,3200,3200,0
4418,3200,3200,0
4419,3200,3200,0
4420,3200,3200,0
4421,3200,3200,0
4422,3200,3200,0
4423,3200,3200,0
4424,3200,3200,0
4425,3200,3200,0
4426,3200,3200,0
4427,3200,3200,0
4428,3200,3200,0
4429,3200,3200,0
4430,3200,3200,0
4431,3200,3200,0
4432,3200,3200,0
4433,3200,3200,0
4434,3200,3200,0
4435,3200,3200,0
4436,3200,3200,0
4437,3200,3200,0
4438,3200,3200,0
4439,3200,3200,0
4440,3200,3200,0
4441,3200,3200,0
4442,3200,3200,0
4443,3200,3200,0
4444,3200,3200,0
4445,3200,3200,0
4446,3200,3200,0
4447,3200,3200,0
4448,3200,3200,0
4449,3200,3200,0
4450,3200,3200,0
4451,3200,3200,0
4452,3200,3200,0
4453,3200,3200,0
4454,3200,3200,0
4455,3200,3200,0
4456,3200,3200,0
4457,3200,3200,0
4458,3200,3200,0
4459,3200,3200,0
4460,3200,3200,0
4461,3200,3200,0
4462,3200,3200,0
4463,3200,3200,0
4464,3200,3200,0
4465,3200,3200,0
4466,3200,3200,0
4467,3200,3200,0
4468,3200,3200,0
4469,3200,3200,0
4470,3200,3200,0
4471,3200,3200,0
4472,3200,3200,0
4473,3200,3200,0
4474,3200,3200,0
4475,3200,3200,0
4476,3200,3200,0
4477,3200,3200,0
4478,3200,3200,0
4479,3200,3200,0
4480,3200,3200,0
4481,3200,3200,0
4482,3200,3200,0
4483,3200,3200,0
4484,3200,3200,0
4485,3200,3200,0
4486,3200,3200,0
4487,3200,3200,0
4488,3200,3200,0
4489,3200,3200,0
4490,3200,3200,0
4491,3200,3200,0
4492,3200,3200,0
4493,3200,3200,0
4494,3200,3200,0
4495,3200,3200,0
4496,3200,3200,0
4497,3200,3200,0
4498,3200,3200,0
4499,3200,3200,0
4500,3200,3200,0
4501,3200,3200,0
4502,3200,3200,0
4503,3200,3200,0
4504,3200,3200,0
4505,3200,3200,0
4506,3200,3200,0
4507,3200,3200,0
4508,3200,3200,0
4509,3200,3200,0
4510,3200,3200,0
4511,3200,3200,0
4512,3200,3200,0
4513,3200,3200,0
4514,3200,3200,0
4515,3200,3200,0
4516,3200,3200,0
4517,3200,3200,0
4518,3200,3200,0
4519,3200,3200,0
4520,3200,3200,0
4521,3200,3200,0
4522,3200,3200,0
4523,3200,3200,0
4524,3200,3200,0
4525,3200,3200,0
4526,3200,3200,0
4527,3200,3200,0
4528,3200,3200,0
4529,3200,3200,0
4530,3200,3200,0
4531,3200,3200,0
4532,3200,3200,0
4533,3200,3200,0
4534,3200,3200,0
4535,3200,3200,0
4536,3200,3200,0
4537,3200,3200,0
4538,3200,3200,0
4539,3200,3200,0
4540,3200,3200,0
4541,3200,3200,0
4542,3200,3200,0
4543,3200,3200,0
4544,3200,3200,0
4545,3200,3200,0
4546,3200,3200,0
4547,3200,3200,0
4548,3200,3200,0
4549,3200,3200,0
4550,3200,3200,0
4551,3200,3200,0
4552,3200,3200,0
4553,3200,3200,0
4554,3200,3200,0
4555,3200,3200,0
4556,3200,3200,0
4557,3200,3200,0
4558,3200,3200,0
4559,3200,3200,0
4560,3200,3200,0
4561,3200,3200,0
4562,3200,3200,0
4563,3200,3200,0
4564,3200,3200,0
4565,3200,3200,0
4566,3200,3200,0
4567,3200,3200,0
4568,3200,3200,0
4569,3200,3200,0
4570,3200,3200,0
4571,3200,3200,0
4572,3200,3200,0
4573,3200,3200,0
4574,3200,3200,0
4575,3200,3200,0
4576,3200,3200,0
4577,3200,3200,0
4578,3200,3200,0
4579,3200,3200,0
4580,3200,3200,0
4581,3200,3200,0
4582,3200,3200,0
4583,3200,3200,0
4584,3200,3200,0
4585,3200,3200,0
4586,3200,3200,0
4587,3200,3200,0
4588,3200,3200,0
4589,3200,3200,0
